,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
529,2022-06-08,-91796.31416429409,-475014.742944412,612752.6031813611,-91796.31416429409,-91796.31416429409,139351.7459209002,139351.7459209002,139351.7459209002,-117870.77078894376,-117870.77078894376,-117870.77078894376,257222.51670984394,257222.51670984394,257222.51670984394,0.0,0.0,0.0,47555.43175660611
530,2022-06-09,-90863.32002497735,-505298.2092048893,637347.5882446927,-90863.32002497735,-90863.32002497735,155583.05815380844,155583.05815380844,155583.05815380844,-93981.13104528256,-93981.13104528256,-93981.13104528256,249564.189199091,249564.189199091,249564.189199091,0.0,0.0,0.0,64719.738128831086
531,2022-06-10,-89930.32588566061,-480298.4720696522,621575.7185306188,-89930.32588566061,-89930.32588566061,164295.1550813179,164295.1550813179,164295.1550813179,-77490.38069573729,-77490.38069573729,-77490.38069573729,241785.5357770552,241785.5357770552,241785.5357770552,0.0,0.0,0.0,74364.8291956573
532,2022-06-14,-86198.34932839379,-542908.2682741246,620783.2130787112,-86198.34932839379,-86198.34932839379,130917.77993286237,130917.77993286237,130917.77993286237,-81127.27119461441,-81127.27119461441,-81127.27119461441,212045.05112747676,212045.05112747676,212045.05112747676,0.0,0.0,0.0,44719.43060446858
533,2022-06-15,-85265.35518907705,-594508.6356524723,557838.6931695334,-85265.35518907705,-85265.35518907705,87683.03910233703,87683.03910233703,87683.03910233703,-117870.77078897189,-117870.77078897189,-117870.77078897189,205553.80989130892,205553.80989130892,205553.80989130892,0.0,0.0,0.0,2417.6839132599853
534,2022-06-16,-84332.36104976032,-557169.4726305552,556081.1862533707,-84332.36104976032,-84332.36104976032,105663.70550818759,105663.70550818759,105663.70550818759,-93981.1310453626,-93981.1310453626,-93981.1310453626,199644.83655355018,199644.83655355018,199644.83655355018,0.0,0.0,0.0,21331.344458427266
535,2022-06-17,-83399.36691044358,-530721.7164092606,567781.115448485,-83399.36691044358,-83399.36691044358,116904.8412640611,116904.8412640611,116904.8412640611,-77490.38069578302,-77490.38069578302,-77490.38069578302,194395.22195984412,194395.22195984412,194395.22195984412,0.0,0.0,0.0,33505.47435361752
536,2022-06-21,-79667.39035317767,-523577.24927039444,592073.4114662966,-79667.39035317767,-79667.39035317767,99764.75104239013,99764.75104239013,99764.75104239013,-81127.27119441953,-81127.27119441953,-81127.27119441953,180892.02223680966,180892.02223680966,180892.02223680966,0.0,0.0,0.0,20097.36068921245
537,2022-06-22,-78457.76472449176,-592673.805347716,566363.0460419348,-78457.76472449176,-78457.76472449176,61576.305599854335,61576.305599854335,61576.305599854335,-117870.77078890846,-117870.77078890846,-117870.77078890846,179447.0763887628,179447.0763887628,179447.0763887628,0.0,0.0,0.0,-16881.459124637426
538,2022-06-23,-77248.13909580598,-556483.4414532856,566724.5985321046,-77248.13909580598,-77248.13909580598,84750.7042558468,84750.7042558468,84750.7042558468,-93981.13104526856,-93981.13104526856,-93981.13104526856,178731.83530111535,178731.83530111535,178731.83530111535,0.0,0.0,0.0,7502.565160040816
539,2022-06-27,-72409.63658106246,-527002.7643469606,588541.6451408645,-72409.63658106246,-72409.63658106246,94332.04016918979,94332.04016918979,94332.04016918979,-87642.0353540652,-87642.0353540652,-87642.0353540652,181974.075523255,181974.075523255,181974.075523255,0.0,0.0,0.0,21922.40358812733
