,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
861,2023-08-14,685511.1352870932,389608.73114268674,1807306.4826381688,297304.1713636729,1068357.5475805155,443209.0835470644,443209.0835470644,443209.0835470644,-98442.44012312948,-98442.44012312948,-98442.44012312948,541651.5236701939,541651.5236701939,541651.5236701939,0.0,0.0,0.0,1128720.2188341576
862,2023-08-15,687430.6765795341,452772.7779830487,1876180.329560118,293927.3884617323,1074839.336349731,443613.22745949065,443613.22745949065,443613.22745949065,-92136.68751317632,-92136.68751317632,-92136.68751317632,535749.914972667,535749.914972667,535749.914972667,0.0,0.0,0.0,1131043.9040390248
863,2023-08-16,689350.2178719749,353710.2268926071,1753399.9027987428,289778.9158527385,1079793.0683377136,399754.75106790353,399754.75106790353,399754.75106790353,-129116.65511642718,-129116.65511642718,-129116.65511642718,528871.4061843307,528871.4061843307,528871.4061843307,0.0,0.0,0.0,1089104.9689398785
864,2023-08-17,691269.7591644154,366826.2628514318,1837094.1263060616,283208.2654824964,1086113.595467298,415706.95252581156,415706.95252581156,415706.95252581156,-105589.1513636737,-105589.1513636737,-105589.1513636737,521296.1038894852,521296.1038894852,521296.1038894852,0.0,0.0,0.0,1106976.711690227
865,2023-08-18,693189.3004568558,406691.2787443143,1839526.8771338863,278972.17727905675,1092434.1225968823,425354.41812990146,425354.41812990146,425354.41812990146,-87975.9261305729,-87975.9261305729,-87975.9261305729,513330.3442604744,513330.3442604744,513330.3442604744,0.0,0.0,0.0,1118543.7185867573
866,2023-08-19,695108.8417492972,728001.7820425843,2169347.8683942426,276217.87478676636,1098856.5667965016,761929.6564826267,761929.6564826267,761929.6564826267,256630.44333467787,256630.44333467787,256630.44333467787,505299.21314794885,505299.21314794885,505299.21314794885,0.0,0.0,0.0,1457038.498231924
867,2023-08-20,697028.3830417376,717396.1891852368,2188481.3603656916,274161.9863984025,1105719.4542012184,754168.6554495748,754168.6554495748,754168.6554495748,256630.41691297624,256630.41691297624,256630.41691297624,497538.2385365986,497538.2385365986,497538.2385365986,0.0,0.0,0.0,1451197.0384913124
868,2023-08-21,698947.924334178,360715.7812553643,1805138.644381257,272371.6002622636,1111179.0063916575,391942.0082792797,391942.0082792797,391942.0082792797,-98442.44012309963,-98442.44012309963,-98442.44012309963,490384.4484023793,490384.4484023793,490384.4484023793,0.0,0.0,0.0,1090889.9326134576
869,2023-08-22,700867.4656266189,375801.06556215923,1827884.0748066176,270586.2280791998,1118708.218007318,392030.3225818493,392030.3225818493,392030.3225818493,-92136.6875130947,-92136.6875130947,-92136.6875130947,484167.010094944,484167.010094944,484167.010094944,0.0,0.0,0.0,1092897.7882084684
870,2023-08-23,702787.0069190593,362057.3143923558,1777676.4704881604,269404.26118782227,1123878.869646471,350081.0300900345,350081.0300900345,350081.0300900345,-129116.65511645643,-129116.65511645643,-129116.65511645643,479197.68520649086,479197.68520649086,479197.68520649086,0.0,0.0,0.0,1052868.037009094
